協 協
匡 匡
卿 卿
叫 叫
喬 喬
境 境
峡 峽
強 強
彊 彊
怯 怯
恐 恐
恭 恭
挟 挾
教 教
橋 橋
況 況
狂 狂
狭 狹
矯 矯
胸 胸
脅 脅
興 興
蕎 蕎
郷 鄉
鏡 鏡
響 響
饗 饗
驚 驚
仰 仰
凝 凝
尭 堯
暁 曉
業 業
局 局
曲 曲
極 極
玉 玉
桐 桐
粁 粁
僅 僅
勤 勤
均 均
巾 巾
錦 錦
斤 斤
欣 欣
欽 欽
琴 琴
禁 禁
禽 禽
筋 筋
緊 緊
芹 芹
菌 菌
衿 衿
襟 襟
謹 謹
近 近
金 金
吟 吟
銀 銀
九 九
倶 俱
句 句
区 區
狗 狗
玖 玖
矩 矩
苦 苦
躯 軀
駆 驅
駈 駈
駒 駒
具 具
愚 愚
虞 虞
喰 餐
空 空
偶 偶
寓 寓
遇 遇
隅 隅
串 串
櫛 櫛
釧 釧
屑 屑
屈 屈
掘 掘
窟 窟
沓 沓
靴 靴
轡 轡
窪 窪
熊 熊
隈 隈
粂 粂
栗 栗
繰 繰
桑 桑
鍬 鍬
勲 勳
君 君
薫 薰
訓 訓
群 群
軍 軍
郡 郡
卦 卦
袈 袈
祁 祁
係 係
傾 傾
刑 刑
兄 兄
啓 啟
圭 圭
珪 珪
型 型
契 契
形 形
径 徑
恵 惠
慶 慶
慧 慧
憩 憩
掲 揭
携 㩦
敬 敬
景 景
桂 桂
渓 溪
畦 畦
稽 稽
系 系
経 經
継 繼
繋 繫
罫 罫
茎 莖
荊 荊
蛍 螢
計 計
詣 詢
警 警
軽 輕
頚 頸
鶏 鷄 雞
芸 芸
迎 迎
鯨 鯨
劇 劇
戟 戟
撃 擊
激 激
隙 隙 隙
桁 桁
傑 傑
欠 欠
決 決
潔 潔
穴 穴
結 結
血 血
訣 訣
月 月
件 件
倹 儉
倦 倦
健 健
兼 兼
券 券
剣 劍
喧 喧
圏 圈
堅 堅
嫌 嫌
建 建
憲 憲
懸 懸
拳 拳
捲 捲
検 檢
権 權
牽 牽
犬 犬
献 獻
研 研
硯 硯
絹 絹
県 縣
肩 肩
見 見
謙 謙
賢 賢
軒 軒
遣 遣
鍵 鍵
険 險
顕 顯
験 驗
鹸 鹼
元 元
原 原
厳 嚴
幻 妒
弦 弦
減 減
源 源
玄 玄
現 現
絃 絃
舷 舷
言 言
諺 諺
限 限
乎 乎
個 個
古 古
呼 呼
固 固
姑 姑
孤 孤
己 己
庫 庫
弧 孤
戸 戶
故 故
枯 枯
湖 湖
狐 狐
糊 糊
袴 袴
股 股
胡 胡
菰 菰
虎 虎
誇 誇
跨 跨
鈷 鈷
雇 雇
顧 顧
鼓 鼓
五 五
互 互
伍 伍
午 午
呉 吳
吾 吾
娯 娛
後 後
御 御
悟 悟
梧 梧
檎 檎
瑚 瑚
碁 碁
語 語
誤 誤
護 護
醐 醐
乞 乞
鯉 鯉
交 交
佼 佼
侯 侯
候 候
倖 倖
光 光
公 公
功 功
効 效
勾 勾
厚 厚
口 口
向 向
后 后
喉 喉
坑 坑
垢 垢
好 好
孔 孔
孝 孝
宏 宏
工 工
巧 巧
巷 巷
幸 幸
広 廣
庚 庚
康 康
弘 弘
恒 恒
慌 慌
抗 抗
拘 拘
控 控
攻 攻
昂 昂
晃 晃
更 更
杭 杭
校 校
梗 梗
構 構
江 江
洪 洪
浩 浩
港 港
溝 溝
甲 甲
皇 皇
硬 硬
稿 稿
糠 糠
紅 紅
紘 紘
絞 絞
綱 綱
耕 耕
考 考
肯 肯
肱 肱
腔 腔
膏 膏
航 航
荒 荒
行 行
衡 衡
講 講
貢 貢
購 購
郊 郊
酵 酵
鉱 鑛
砿 礦
鋼 鋼
閤 閤
降 降
項 項
香 香
高 高
鴻 鴻
剛 剛
劫 劫
号 號
合 合
壕 壕
拷 拷
濠 濠
豪 豪
轟 轟
麹 麴
克 克
刻 刻
告 告
国 國
穀 穀
酷 酷
鵠 鵠
黒 黑
獄 獄
漉 漉
腰 腰
甑 甑
忽 忽
惚 惚
骨 骨
狛 狛
込 込
此 此
頃 頃
今 今
困 困
坤 坤
墾 墾
婚 婚
恨 恨
懇 懇
昏 昏
昆 昆
根 根
梱 梱
混 混
痕 痕
紺 紺
艮 艮
魂 魂
些 些
佐 佐
叉 叉
唆 唆
嵯 嵯
左 左
差 差
査 查
沙 沙
瑳 瑳
砂 砂
詐 詐
鎖 鎖
裟 裟
坐 坐
座 座
挫 挫
債 債
催 催
再 再
最 最
哉 哉
塞 塞
妻 妻
宰 宰
彩 彩
才 才
採 採
栽 栽
歳 歲
済 濟
災 災
采 采
犀 犀
砕 碎
砦 砦
祭 祭
斎 齋
細 細
菜 菜
裁 裁
載 載
際 際
剤 劑
在 在
材 材
罪 罪
財 財
冴 冴
坂 坂
阪 阪
堺 堺
榊 榊
肴 肴
咲 咲
崎 崎
埼 埼
碕 碕
鷺 鷺
作 作
削 削
咋 咋
搾 搾
昨 昨
朔 朔
柵 柵
窄 窄
策 策
索 索
錯 錯
桜 櫻
鮭 鮭
笹 笹
匙 匙
冊 皿
刷 刷
察 察
拶 拶
撮 撮
擦 擦
札 札
殺 殺
薩 薩
雑 雜
皐 皋
鯖 鯖
捌 捌
錆 錆
鮫 鮫
皿 皿
晒 晒
三 三
傘 傘
参 參
山 山
惨 慘
撒 撒
散 散
桟 棧
燦 燦
珊 珊
産 產
算 算
纂 纂
蚕 蠶
讃 讚
賛 贊
酸 酸
餐 餐
斬 斬
暫 暫
残 殘
仕 仕
仔 仔
伺 伺
使 使
刺 刺
司 司
史 史
嗣 嗣
四 四
士 士
始 始
姉 姉
姿 姿
子 子
屍 屍
市 市
師 師
志 志
思 思
指 指
支 支
孜 孜
斯 斯
施 施
旨 旨
枝 枝
止 止
死 死
氏 氏
獅 獅
祉 祉
私 私
糸 糸
紙 紙
紫 紫
肢 肢
脂 脂
至 至
視 視
詞 詞
詩 詩
試 試
誌 誌
諮 諮
資 資
賜 賜
雌 雌
飼 飼
歯 齒
事 事
似 似
侍 侍
児 兒
字 字
寺 寺
慈 慈
持 持
時 時
次 次
滋 滋
治 治
爾 爾
璽 璽
痔 痔
磁 磁
示 示
而 而
耳 耳
自 自
蒔 蒔
辞 辭
汐 汐
鹿 鹿
式 式
識 識
鴫 鴫
竺 竺
軸 軸
宍 宍
雫 雫
七 七
叱 叱
執 執
失 失
嫉 嫉
室 室
悉 悉
湿 濕
漆 漆
疾 疾
質 質
実 實
蔀 蔀
篠 蓧
偲 偲
柴 柴
芝 芝
屡 屢
蕊 蕊
縞 縞
舎 舍
写 寫
射 射
捨 捨
赦 赦
斜 斜
煮 煮
社 社
紗 紗
者 者
謝 謝
車 車
遮 遮
蛇 蛇
邪 邪
借 借
勺 勺
尺 尺
杓 杓
灼 灼
爵 爵
酌 酌
釈 釋
錫 錫
若 若
寂 寂
弱 弱
惹 惹
主 主
